,totalid
"298386,7415099",14.0
"298432,7395766",2.0
"298480,7409583",2.0
"298514,7409658",3.0
"298520,7386430",2.0
"298567,7386730",1.0
"298567,7394236",4.0
"298577,7384813",1.0
"298587,7409673",2.0
"298589,7363565",10.0
"298629,7409738",2.0
"298659,7386072",2.0
"298659,7400781",5.0
"298667,7396408",3.0
"298712,7387221",2.0
"298713,7402080",2.0
"298734,7387139",4.0
"298740,7395670",8.0
"298760,7357222",9.0
"298780,7386997",1.0
"298784,7357318",4.0
"298796,7394629",2.0
"298800,7357149",5.0
"298809,7518696",2.0
"298866,7357194",1.0
"298870,7357246",2.0
"298870,7386948",2.0
"298892,7357346",2.0
"298897,7394697",3.0
"298921,7400622",8.0
"298942,7357372",5.0
"298959,7358844",2.0
"298977,7400697",3.0
"299001,7400580",2.0
"299003,7359671",3.0
"299004,7395532",4.0
"299064,7387772",8.0
"299093,7396449",6.0
"299109,7396456",3.0
"299131,7395288",4.0
"299158,7395454",4.0
"299163,7390647",8.0
"299169,7395112",8.0
"299181,7394757",12.0
"299212,7357484",2.0
"299216,7395189",7.0
"299221,7397865",2.0
"299228,7355161",9.0
"299254,7395105",4.0
"299260,7398150",1.0
"299265,7395223",3.0
"299265,7397693",2.0
"299272,7397694",2.0
"299313,7397956",2.0
"299370,7399989",6.0
"299377,7355026",1.0
"299492,7386837",5.0
"299545,7389979",8.0
"299554,7398072",1.0
"299560,7400510",1.0
"299562,7389699",4.0
"299577,7398081",2.0
"299581,7350019",5.0
"299591,7398355",2.0
"299623,7398112",1.0
"299665,7400030",2.0
"299667,7392795",3.0
"299673,7393880",8.0
"299676,7393901",6.0
"299695,7394607",3.0
"299697,7394167",14.0
"299697,7397807",1.0
"299698,7397801",2.0
"299707,7359600",9.0
"299718,7394539",1.0
"299722,7393959",1.0
"299734,7357867",6.0
"299768,7400919",3.0
"299779,7400275",8.0
"299805,7389721",2.0
"299811,7400249",5.0
"299813,7400268",7.0
"299857,7387091",2.0
"299870,7408601",5.0
"299885,7394403",7.0
"299898,7394586",6.0
"299945,7408929",2.0
"299958,7400219",4.0
"299967,7409895",2.0
"299968,7393258",1.0
"299979,7394336",2.0
"300000,7389771",9.0
"300027,7391324",7.0
"300039,7394707",2.0
"300047,7400337",7.0
"300053,7394864",4.0
"300054,7393691",5.0
